Release date: May 2018,,,,,,,,,,,,,
"Table CE3.4  Annual household site end-use consumption in the South—totals and averages, 2015",,,,,,,,,,,,,
,Number of housing units (million),"Total site energy consumption1
(trillion Btu)",,,,,,"Average site energy consumption1
(million Btu per household using the end use)",,,,,
,Total South2,Total,Space heating3,Water heating,Air condi-tioning,Refrig-erators,Other4,Total,Space heating3,Water heating,Air condi-tioning,Refrig-erators,Other4
All homes, 44.4 ," 3,064 ", 949 , 562 , 479 , 117 , 957 , 68.9 , 22.7 , 12.7 , 11.3 , 2.7 , 21.5 
Census division,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
South Atlantic, 23.5 ," 1,584 ", 497 , 294 , 238 , 61 , 494 , 67.5 , 23.2 , 12.5 , 10.7 , 2.6 , 21.1 
East South Central, 7.2 , 498 , 168 , 96 , 61 , 18 , 156 , 69.2 , 23.6 , 13.3 , 9.0 , 2.5 , 21.7 
West South Central, 13.8 , 981 , 284 , 173 , 179 , 38 , 307 , 71.3 , 21.6 , 12.5 , 13.7 , 2.8 , 22.3 
Census urban/rural classification5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Urban, 33.4 ," 2,267 ", 689 , 420 , 370 , 85 , 702 , 67.8 , 22.1 , 12.6 , 11.7 , 2.6 , 21.0 
Urbanized area, 28.1 ," 1,930 ", 569 , 357 , 326 , 73 , 605 , 68.8 , 22.0 , 12.7 , 12.2 , 2.6 , 21.6 
Urban cluster, 5.4 , 336 , 121 , 63 , 44 , 12 , 97 , 62.9 , 22.7 , 11.7 , 8.9 , 2.4 , 18.1 
Rural, 11.0 , 797 , 260 , 142 , 109 , 31 , 255 , 72.3 , 24.5 , 12.9 , 10.4 , 2.9 , 23.1 
Metropolitan or micropolitan statistical area,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
In metropolitan statistical area, 34.7 ," 2,391 ", 711 , 438 , 395 , 93 , 755 , 68.9 , 22.0 , 12.6 , 12.0 , 2.7 , 21.7 
In micropolitan statistical area, 6.3 , 432 , 164 , 79 , 48 , 15 , 127 , 68.6 , 26.1 , 12.5 , 8.0 , 2.5 , 20.2 
Not in metropolitan or micropolitan statistical area, 3.4 , 240 , 75 , 45 , 36 , 9 , 76 , 69.9 , 23.1 , 13.2 , 10.8 , 2.6 , 22.0 
Climate region6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Very cold/Cold, Q , Q , Q , Q , Q , Q , Q , 92.0 , 42.9 , 16.3 , 3.8 , 2.3 , 26.6 
Mixed-humid, 21.3 ," 1,636 ", 641 , 304 , 155 , 55 , 481 , 77.0 , 30.5 , 14.3 , 7.7 , 2.6 , 22.6 
Mixed-dry/Hot-dry, N , N , N , N , N , N , N , N , N , N , N , N , N 
Hot-humid, 22.4 ," 1,352 ", 273 , 245 , 321 , 59 , 454 , 60.5 , 13.7 , 10.9 , 15.1 , 2.7 , 20.3 
Marine, N , N , N , N , N , N , N , N , N , N , N , N , N 
Housing unit type,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Single-family detached, 28.7 ," 2,373 ", 785 , 389 , 385 , 87 , 727 , 82.7 , 28.5 , 13.6 , 14.1 , 3.1 , 25.3 
Single-family attached, 2.3 , 129 , 42 , 27 , 19 , 5 , 36 , 56.5 , 19.7 , 11.6 , 8.6 , 2.3 , 15.9 
Apartments in buildings with 2–4 units, 2.4 , 101 , 26 , 25 , 13 , 4 , 33 , 42.1 , 12.4 , 10.5 , 6.0 , 1.7 , 13.6 
Apartments in buildings with 5 or more units, 7.2 , 244 , 42 , 72 , 32 , 12 , 86 , 34.0 , 6.7 , 10.0 , 4.6 , 1.7 , 12.0 
Mobile homes, 3.9 , 216 , 53 , 49 , 30 , 9 , 75 , 55.6 , 14.9 , 12.7 , 8.4 , 2.2 , 19.3 
Ownership of housing unit,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Owned, 28.5 ," 2,295 ", 748 , 378 , 369 , 86 , 713 , 80.6 , 27.7 , 13.3 , 13.5 , 3.0 , 25.1 
Single-family, 24.8 ," 2,099 ", 705 , 336 , 339 , 77 , 641 , 84.8 , 29.6 , 13.6 , 14.2 , 3.1 , 25.9 
Apartments, 0.8 , 33 , 5 , 7 , 6 , 2 , 14 , 39.4 , 8.2 , 8.2 , 7.0 , 2.3 , 16.3 
Mobile homes, 2.9 , 163 , 38 , 35 , 24 , 7 , 58 , 56.5 , 14.9 , 12.2 , 8.7 , 2.3 , 20.2 
Rented7, 16.0 , 769 , 201 , 184 , 109 , 31 , 244 , 48.1 , 13.6 , 11.5 , 7.4 , 2.0 , 15.3 
Single-family, 6.2 , 403 , 122 , 79 , 64 , 15 , 122 , 64.8 , 20.9 , 12.8 , 11.2 , 2.4 , 19.6 
Apartments, 8.7 , 312 , 64 , 90 , 39 , 14 , 105 , 35.7 , 8.1 , 10.3 , 4.8 , 1.6 , 12.0 
Mobile homes, 1.0 , 53 , 14 , 14 , 6 , 2 , 17 , 53.3 , 15.1 , 14.2 , 7.4 , 2.0 , 16.6 
Year of construction,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Before 1950, 3.9 , 299 , 134 , 49 , 38 , 8 , 69 , 76.8 , 35.5 , 12.7 , 10.6 , 2.2 , 17.7 
1950 to 1959, 3.6 , 259 , 94 , 44 , 45 , 9 , 68 , 71.2 , 27.3 , 12.2 , 12.5 , 2.4 , 18.6 
1960 to 1969, 4.5 , 308 , 105 , 51 , 56 , 11 , 85 , 68.8 , 24.9 , 11.4 , 13.4 , 2.5 , 19.0 
1970 to 1979, 7.2 , 470 , 157 , 88 , 72 , 18 , 135 , 65.4 , 23.1 , 12.2 , 10.5 , 2.6 , 18.7 
1980 to 1989, 7.3 , 473 , 128 , 85 , 76 , 20 , 164 , 64.5 , 19.0 , 11.6 , 11.3 , 2.8 , 22.3 
1990 to 1999, 7.7 , 538 , 154 , 105 , 81 , 21 , 177 , 69.7 , 21.5 , 13.6 , 11.2 , 2.7 , 22.9 
2000 to 2009, 8.2 , 585 , 142 , 111 , 92 , 24 , 215 , 71.6 , 18.5 , 13.7 , 11.5 , 3.0 , 26.4 
2010 to 2015, 2.0 , 132 , 35 , 29 , 19 , 5 , 44 , 65.2 , 18.4 , 14.1 , 9.8 , 2.5 , 21.9 
Total square footage8,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
"Fewer than 1,000", 8.5 , 340 , 74 , 92 , 48 , 15 , 111 , 39.8 , 9.6 , 10.8 , 6.1 , 1.8 , 13.0 
"1,000 to 1,499", 12.2 , 670 , 169 , 147 , 105 , 27 , 222 , 54.8 , 15.1 , 12.0 , 9.1 , 2.2 , 18.1 
"1,500 to 1,999", 8.2 , 573 , 185 , 101 , 101 , 23 , 162 , 69.5 , 24.1 , 12.3 , 12.9 , 2.9 , 19.6 
"2,000 to 2,499", 4.9 , 391 , 129 , 66 , 62 , 14 , 119 , 79.8 , 27.4 , 13.6 , 13.4 , 2.9 , 24.3 
"2,500 to 2,999", 3.3 , 307 , 113 , 45 , 47 , 11 , 92 , 93.7 , 34.6 , 13.8 , 14.8 , 3.3 , 28.0 
"3,000 or greater", 7.3 , 783 , 278 , 110 , 115 , 27 , 252 , 107.8 , 38.9 , 15.2 , 16.3 , 3.8 , 34.7 
Number of household members,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1 member, 10.9 , 526 , 193 , 66 , 88 , 23 , 156 , 48.3 , 19.3 , 6.1 , 8.6 , 2.2 , 14.3 
2 members, 15.9 ," 1,074 ", 344 , 167 , 180 , 44 , 340 , 67.3 , 22.8 , 10.5 , 11.8 , 2.8 , 21.3 
3 members, 7.5 , 572 , 174 , 118 , 88 , 21 , 172 , 76.8 , 24.9 , 15.8 , 12.2 , 2.8 , 23.1 
4 members, 6.0 , 526 , 143 , 119 , 74 , 17 , 173 , 87.3 , 24.9 , 19.7 , 12.9 , 2.9 , 28.7 
5 members, 2.7 , 237 , 62 , 59 , 34 , 7 , 75 , 87.5 , 24.4 , 22.0 , 13.3 , 2.7 , 27.5 
6 or more members, 1.4 , 128 , 33 , 33 , 16 , 4 , 42 , 90.3 , 24.1 , 23.5 , 12.2 , 3.0 , 29.2 
2015 annual household income,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
"Less than $20,000", 9.1 , 469 , 143 , 104 , 69 , 18 , 134 , 51.4 , 16.7 , 11.5 , 8.4 , 2.0 , 14.7 
"$20,000 to $39,999", 11.1 , 651 , 198 , 127 , 99 , 27 , 200 , 58.6 , 19.6 , 11.4 , 9.7 , 2.4 , 18.0 
"$40,000 to $59,999", 7.7 , 521 , 165 , 97 , 85 , 19 , 154 , 67.7 , 22.8 , 12.6 , 11.4 , 2.5 , 20.0 
"$60,000 to $79,999", 5.0 , 341 , 99 , 64 , 56 , 13 , 109 , 68.6 , 20.9 , 12.9 , 11.5 , 2.8 , 21.9 
"$80,000 to $99,999", 3.3 , 256 , 77 , 43 , 46 , 10 , 80 , 76.8 , 25.0 , 13.0 , 13.7 , 3.0 , 23.9 
"$100,000 to $119,999", 2.6 , 215 , 68 , 37 , 36 , 9 , 66 , 81.3 , 26.7 , 13.9 , 13.8 , 3.2 , 24.8 
"$120,000 to $139,999", 1.7 , 159 , 49 , 25 , 27 , 6 , 53 , 92.9 , 29.2 , 14.5 , 15.9 , 3.4 , 30.7 
"$140,000 or more", 3.9 , 452 , 149 , 65 , 61 , 15 , 162 , 116.8 , 39.5 , 16.8 , 16.1 , 3.9 , 41.9 
Payment method for energy bills,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
All paid by household, 41.8 ," 2,953 ", 918 , 533 , 463 , 112 , 927 , 70.7 , 23.5 , 12.8 , 11.7 , 2.7 , 22.2 
"Some paid by household, some included in rent or condo fee", 0.8 , 37 , 12 , 8 , 6 , 2 , 10 , 45.0 , 14.2 , 9.9 , 6.9 , 2.0 , 12.3 
All included in rent or condo fee, 1.5 , 56 , 15 , 16 , 7 , 2 , 16 , 38.0 , 10.7 , 10.8 , 5.0 , 1.7 , 10.5 
Some other method, 0.4 , 17 , 4 , 5 , 2 , 1 , 5 , 47.1 , 11.5 , 14.5 , 6.8 , 1.6 , 13.0 
Main heating fuel,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Natural gas, 13.7 ," 1,318 ", 510 , 216 , 181 , 40 , 371 , 96.3 , 37.3 , 15.8 , 13.7 , 3.0 , 27.1 
Electricity, 24.9 ," 1,354 ", 315 , 277 , 234 , 62 , 466 , 54.5 , 12.7 , 11.2 , 9.9 , 2.5 , 18.7 
Fuel oil/kerosene, 0.8 , 82 , 46 , 11 , 6 , 2 , 17 , 99.4 , 55.5 , 13.5 , 8.0 , 2.5 , 20.1 
Propane, 1.9 , 173 , 71 , 26 , 17 , 6 , 53 , 93.0 , 38.3 , 13.8 , 9.4 , 3.1 , 28.7 
,,,,,,,,,,,,,
"     1Consumption and expenditures for biomass (wood), coal, district steam, and solar thermal are excluded. Electricity consumption from on-site solar photovoltaic generation (i.e., solar panels) is included.
     2Total South includes all primary occupied housing units in the South Census Region. Vacant housing units, seasonal units, second homes, military houses, and group quarters are excluded.
     3Includes main (primary) and secondary space heating.      
     4Includes end uses not shown in this table. A more detailed breakout of end uses is shown in the Series 5 tables.
     5Housing units are classified using criteria created by the U.S. Census Bureau based on 2010 Census data. Urbanized areas are densely settled groupings of blocks or tracts with 50,000 or more people. Urban clusters have at least 2,500 but less than 50,000 people. All other areas are rural.
     6These climate regions were created by the Building America program, sponsored by the U.S. Department of Energy’s Office of Energy Efficiency and Renewable Energy (EERE).     
     7Rented includes households that occupy their primary housing units without paying rent.    
     8Total square footage includes all basements, finished or conditioned (heated or cooled) areas of attics, and conditioned garage space that is attached to the home. Unconditioned and unfinished areas in attics and attached garages are excluded. The square footage for some housing units was calculated based on measurements taken by the interviewer. For households responding without the presence of an interviewer, square footage was imputed based on characteristics of the housing unit. See 2015 RECS Square Footage Methodology for full details about data collection and processing.
     Q = Data withheld because either the Relative Standard Error (RSE) was greater than 50% or fewer than 10 cases responded.
     N = No cases responded.
     Notes:  Because of rounding, data may not sum to totals.  See RECS Terminology for definition of terms used in these tables.
     Source: U.S. Energy Information Administration, Office of Energy Consumption and Efficiency Statistics, Forms EIA-457A, C, D, E, F, G of the 2015 Residential Energy Consumption Survey.",,,,,,,,,,,,,
